,SecurityID,ZXF
868,002412.SZE,35
869,002413.SZE,28
870,002414.SZE,28
871,002415.SZE,60
872,002416.SZE,31
873,002417.SZE,61
874,002418.SZE,33
875,002419.SZE,31
876,002420.SZE,33
877,002421.SZE,62
878,002422.SZE,35
879,002423.SZE,21
880,002424.SZE,35
881,002425.SZE,63
882,002426.SZE,26
883,002427.SZE,22
884,002428.SZE,12
885,002429.SZE,33
886,002430.SZE,26
887,002431.SZE,23
888,002432.SZE,35
889,002433.SZE,35
890,002434.SZE,30
891,002435.SZE,35
892,002436.SZE,60
893,002437.SZE,35
894,002438.SZE,26
895,002439.SZE,62
896,002440.SZE,22
897,002441.SZE,27
898,002442.SZE,22
899,002443.SZE,21
900,002444.SZE,26
901,002445.SZE,63
902,002446.SZE,61
903,002447.SZE,63
904,002448.SZE,30
905,002449.SZE,60
906,002450.SZE,22
907,002451.SZE,27
908,002452.SZE,27
909,002453.SZE,22
910,002454.SZE,30
911,002455.SZE,22
912,002456.SZE,60
913,002457.SZE,24
914,002458.SZE,37
915,002459.SZE,26
916,002460.SZE,12
917,002461.SZE,36
918,002462.SZE,35
919,002463.SZE,60
920,002464.SZE,63
921,002465.SZE,28
922,002466.SZE,12
923,002467.SZE,61
924,002468.SZE,50
925,002469.SZE,23
926,002470.SZE,22
927,002471.SZE,27
928,002472.SZE,26
929,002473.SZE,33
930,002474.SZE,62
931,002475.SZE,60
932,002476.SZE,10
933,002478.SZE,21
934,002479.SZE,20
935,002480.SZE,26
936,002481.SZE,36
937,002482.SZE,23
938,002483.SZE,26
939,002484.SZE,60
940,002485.SZE,34
941,002486.SZE,34
942,002487.SZE,27
943,002488.SZE,30
944,002489.SZE,25
945,002490.SZE,26
946,002491.SZE,61
947,002492.SZE,50
948,002493.SZE,10
949,002494.SZE,34
950,002495.SZE,36
951,002496.SZE,22
952,002497.SZE,22
953,002498.SZE,27
954,002499.SZE,20
955,002500.SZE,41
956,002501.SZE,12
957,002502.SZE,63
958,002503.SZE,34
959,002504.SZE,23
960,002505.SZE,37
961,002506.SZE,27
962,002507.SZE,36
963,002508.SZE,33
964,002509.SZE,26
965,002510.SZE,30
966,002511.SZE,25
967,002512.SZE,62
968,002513.SZE,22
